uri,playlist,track.name,track.album.name,track.album.release_date,track.popularity,primaryartist_name,primaryartist_uri,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
spotify:track:50QNpowB5bvfcMobBJ9Vb6,Daily Mix 1,To Dance Is To Love,"Three, Fever",2019-01-04,41,Charlie Burg,spotify:artist:0ubGY2CcC0tvR0eE6hJaT8,0,-5.322,1,0.0467,0.029,0.000155,0.0981,0.661,104.99,213232,4
spotify:track:4pH6laAb6NMMZUKB3QriFq,Daily Mix 1,Somebody,Somebody,2019-11-14,37,BenjiFlow,spotify:artist:3NRpcByltnHx7oZxWbg8Lt,7,-7.765,1,0.0882,0.0329,0.153,0.139,0.584,98.929,188866,4
spotify:track:5p8mIi823BET6E9BcJNbwv,Daily Mix 1,Drinkin',Whatever Makes U Happy,2017-04-28,44,JMSN,spotify:artist:6HCkJzbswOIc7Qc5TJ1n5l,10,-6.723,0,0.157,0.0246,0.00423,0.301,0.547,129.961,283584,3
spotify:track:4hAV5qNMQbwS6rtt0RwBDL,Daily Mix 1,Outta Hand,¿Téo?,2018-09-13,38,¿Téo?,spotify:artist:0jsnWH4QCKcAMpR7vEhh9u,11,-8.524,0,0.0492,0.0453,0.0655,0.0885,0.276,111.998,250764,4
spotify:track:2Fxly6AusNFtTf8ZBaVWnh,Daily Mix 1,SONGS ABOUT YOU,INDUSTRY GAMES,2020-03-13,56,CHIKA,spotify:artist:6UtYvUtXnmg5EtllDFlWp8,1,-6.327,1,0.423,0.6,0,0.345,0.785,75.487,241613,4
spotify:track:6xQObuonHYg7NbuHngLlcg,Daily Mix 1,Time Today - Remix,Time Today (Remix),2019-10-09,52,BJ The Chicago Kid,spotify:artist:07d5etnpjriczFBB8pxmRe,0,-6.429,0,0.052,0.0712,0,0.0408,0.404,92.393,199623,4
spotify:track:32sBVB5HmrwJ6e9g0S2BRL,Daily Mix 1,Damselfly,Yesterday's Gone,2017-01-20,65,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,11,-7.539,1,0.246,0.517,0.00159,0.358,0.54,94.968,172653,4
spotify:track:001BVhvaZTf2icV88rU3DA,Daily Mix 1,Wet Jeans,Wet Jeans,2016-10-19,36,Amindi,spotify:artist:1xQIR56DxgWYZPUvOLRIua,6,-11.755,0,0.158,0.061,0.0137,0.166,0.356,87.997,205256,4
spotify:track:2wvRPP6KZoGVjcSxy2fvBk,Daily Mix 1,Gold Is Rusted,Retuned,2015-09-06,0,Meanz Of Operation,spotify:artist:6rp64yBAmT2SXwbHkYTtdV,7,-4.201,1,0.0788,0.00981,9.2e-06,0.174,0.415,160.171,270368,4
spotify:track:4HW5kSQ8M2IQWZhSxERvla,Daily Mix 1,Spice Girl,Good For You,2017-07-28,70,Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ,0,-7.912,0,0.224,0.391,0,0.157,0.868,78.1,173947,4
spotify:track:7HmCoTbkdV6BA8tPDBoyD9,Daily Mix 1,Stars & Shards,Yesterday's Gone,2017-01-20,1,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,9,-6.464,0,0.307,0.273,0,0.0795,0.68,100.196,187667,4
spotify:track:21JnajgprNOK5kEYrjEXZg,Daily Mix 1,"Spaceships + Rockets (with LION BABE, feat. Moe Moks, mOma+Guy)",Milky Way,2018-08-24,46,Bas,spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ,3,-6.031,0,0.0684,0.00613,0.00076,0.12,0.968,128.019,211147,4
spotify:track:1DoS5ql0TW3ejjJGHbsAmz,Daily Mix 1,Tadow,Tadow,2017-10-06,14,Masego,spotify:artist:3ycxRkcZ67ALN3GQJ57Vig,9,-6.21,0,0.0604,0.711,8.36e-05,0.0958,0.345,121.729,301639,4
spotify:track:1BybndP1YgPEIk6WUnL6kT,Daily Mix 1,Reckless,Platinum Fire (Deluxe),2018-12-14,61,Arin Ray,spotify:artist:6TvjXbopXg71XRM9OZWqUc,5,-5.702,0,0.0968,0.257,0.00281,0.088,0.605,173.994,233266,4
spotify:track:3KgFcyKbaH3B96qYeLArIM,Daily Mix 1,North Korea (feat. Donnie Trumpet),North Korea (feat. Donnie Trumpet),2015-01-04,37,Blended Babies,spotify:artist:1hFXEoLCso0TI0QvWJdukg,6,-6.018,0,0.0416,0.253,0.895,0.0976,0.558,137.877,236591,4
spotify:track:3HEn14GqygLCNfroOnYiZb,Daily Mix 1,Free Room (feat. Appleby),Moon Shoes EP,2016-07-29,60,Ravyn Lenae,spotify:artist:5RTLRtXjbXI2lSXc6jxlAz,4,-7.662,1,0.318,0.729,0.000557,0.107,0.386,120.172,217013,4
spotify:track:4Uxb6ZyCz6YnB0Rr85IsS8,Daily Mix 1,Backwood,PHO,2016-10-21,51,Ari Lennox,spotify:artist:1vaQ6v3pOFxAIrFoPrAcom,5,-9.591,0,0.196,0.161,0.000101,0.126,0.59,74.084,168213,4
spotify:track:3UwJgXIiOPZ2Th8wGWXpy8,Daily Mix 1,Get Lost / Untitled,Arcade,2016-10-28,20,Topaz Jones,spotify:artist:76bAuLD5jMIT1YDJ84KB8l,11,-9.11,1,0.447,0.311,0,0.196,0.349,139.994,433883,4
spotify:track:38RCbHtuJ44NvBHQeV65qJ,Daily Mix 1,"Fungus (feat. K. Solar, Scott Kelley & Steve Lacy)",The Leimert Park Project,2017-04-20,42,Tru,spotify:artist:51Y9uMxhciB1I5qIAhJs8q,8,-3.504,1,0.338,0.329,3.18e-05,0.0902,0.588,88.985,278040,4
spotify:track:1FunRKEGHk2OywxjdDa3xr,Daily Mix 1,Sunroof,Thirst 48 Part II,2016-10-14,51,Boogie,spotify:artist:5usbqiU7sjvszjWecANDL6,5,-6.112,1,0.188,0.285,0,0.0913,0.534,113.944,237253,4
spotify:track:519gsmXeU6nURXEs2WF77J,Daily Mix 1,INDUSTRY GAMES,INDUSTRY GAMES,2020-02-17,17,CHIKA,spotify:artist:6UtYvUtXnmg5EtllDFlWp8,1,-8.576,0,0.204,0.225,0,0.0707,0.442,155.158,137373,4
spotify:track:2YQ1cc9xWnp5qI08rKt6wv,Daily Mix 1,The Isle Of Arran,Yesterday's Gone,2017-01-20,54,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,2,-5.315,0,0.238,0.516,0,0.14,0.711,90.387,214427,4
spotify:track:6mY56gQjKYzpwyK2PNRJst,Daily Mix 1,One Chick,One Chick,2017-02-02,44,Sondai,spotify:artist:7fqqJ0Awa5H2HKjrxlbvaX,9,-6.875,0,0.168,0.306,0,0.353,0.932,136.086,217059,4
spotify:track:2DgSP42Lx6DnvIzw36gGYW,Daily Mix 1,Américano,Américano,2018-06-27,44,¿Téo?,spotify:artist:0jsnWH4QCKcAMpR7vEhh9u,2,-7.614,0,0.132,0.152,9.49e-06,0.403,0.594,114.907,185313,4
spotify:track:4IWKqjDmoYFsgjDBDcFWdj,Daily Mix 1,Florence,Yesterday's Gone,2017-01-20,53,Loyle Carner,spotify:artist:4oDjh8wNW5vDHyFRrDYC4k,4,-6.872,0,0.378,0.525,0.00112,0.0856,0.489,89.916,184520,4
spotify:track:0UrcVq0hS7LhBBHL4KH9BT,Daily Mix 1,Higher,Casanova,2017-03-10,34,Brian Fresco,spotify:artist:6XlV5geX7LvRcoeBnItw2I,4,-8.085,0,0.157,0.447,2.21e-06,0.37,0.417,119.919,241807,4
spotify:track:6Tj4oHdbQdnicaVZD2d2tQ,Daily Mix 1,NYC Window,NYC Window,2017-01-13,30,Armani White,spotify:artist:2qAwMsiIjTzlmfAkXKvhVA,4,-7.27,0,0.313,0.66,0,0.926,0.465,79.714,149625,4
spotify:track:7xZlxQGgb0rBOPLJkviPCq,Daily Mix 1,Turn Me Down,Turn Me Down,2016-12-07,36,Pellican Child,spotify:artist:5fpA7YzdL7jf0eCzus9imp,7,-6.072,1,0.532,0.395,0,0.255,0.809,167.523,203016,4
spotify:track:4ocmVnBOmRFzigZrIFpEfQ,Daily Mix 1,Fill Into Me,Fill Into Me,2020-01-01,35,Anju,spotify:artist:6j0WU6eUemUaxRLzwADWkM,7,-11.939,1,0.0338,0.867,0.0208,0.143,0.0729,78.017,303313,4
spotify:track:6xANFc4ajkfCOCivvrtD7U,Daily Mix 1,Wasting Time,Traphouse Cuts,2012-10-30,39,Kids These Days,spotify:artist:2A2MfAaWoDvGe0jhcZjKaY,7,-10.894,1,0.132,0.472,0.000131,0.111,0.141,81.689,318814,4
spotify:track:6Fr7f5U4n2Ip5QKNy6IJOf,Daily Mix 1,COVER GIRL,COVER GIRL,2020-04-03,57,BIA,spotify:artist:6veh5zbFpm31XsPdjBgPER,1,-4.787,1,0.194,0.00134,0,0.127,0.262,84.976,149498,4
spotify:track:6wtN7CqLJN6OZu7gZjejoa,Daily Mix 1,Bubby's Cream,Deli Daydreams,2018-02-23,43,Kojaque,spotify:artist:3ZHJIsD3uMwwjXlSpDzPtY,8,-4.381,1,0.297,0.768,0.532,0.111,0.6,84.897,222214,4
spotify:track:00JTQURXuCbFAzA4yVlWWc,Daily Mix 2,Loud and Clear,Questions And Answers,2006,25,The Sleeping,spotify:artist:5l3nkPJllQnOEOp5ZP5QyW,8,-5.104,0,0.135,0.000679,0,0.253,0.462,166.96,232573,4
spotify:track:0usJNX3ool2M5Yyp06f4De,Daily Mix 2,Minuet,"Dear Diary, My Teen Angst Has A Body Count",2005-07-26,27,From First To Last,spotify:artist:5n71fmAB8Un2IfAPn64erN,2,-13.855,0,0.0818,0.923,0.89,0.11,0.965,123.985,61987,4
spotify:track:2y8VWxzuw49UaIc4F5QIQk,Daily Mix 2,Buried a Lie,Let It Enfold You,2004-09-07,53,Senses Fail,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,2,-5.31,1,0.136,0.00177,0,0.517,0.532,163.268,179987,4
spotify:track:6LlkK9UAgxYoJZ4CqESq8V,Daily Mix 2,The Midwest Sky,breathe,2019-09-13,39,Tiny Moving Parts,spotify:artist:5rJVTTK0ucAxQhkUc0nXbH,0,-3.051,1,0.0736,0.00252,0,0.0674,0.552,170.218,190525,3
spotify:track:2rRHzcOU7xJbmNxT7U5pvY,Daily Mix 2,There Are Better Ways to Die,The Fire. The Fear. The Fall,2018-01-23,33,Tanuki,spotify:artist:09YBQNuquh9FWDQSW6M1Hi,4,-8.875,0,0.052,0.079,0.000243,0.0996,0.296,133.986,309615,4
spotify:track:6KEnGwmF5rAgP9NyZqcYPj,Daily Mix 2,"You Be Tails, I'll Be Sonic",What Separates Me From You,2011-10-01,54,A Day To Remember,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,7,-3.575,1,0.14,7.76e-05,0,0.302,0.282,138.051,227893,4
spotify:track:5quv9YDjbVlXddPEk08N0H,Daily Mix 2,Seven - Remastered,Diary (2009 Edition),1994-05-10,46,Sunny Day Real Estate,spotify:artist:2lZkXWxkZsZzBocxMjN1or,5,-5.433,1,0.0867,0.000174,0.0038,0.194,0.306,140.202,286400,4
spotify:track:5ZmT8xitz4MNcLlUUdBnAa,Daily Mix 2,Your Sword Versus My Dagger,Discovering the Waterfront (Reissue),2005,45,Silverstein,spotify:artist:1Tsag5J854qxeOo2apszug,5,-2.472,1,0.044,9.85e-05,8.22e-05,0.258,0.67,126.046,178600,3
spotify:track:0ks73dEq6fYivoMRFbDD5g,Daily Mix 2,Ain't Love Grand,Suicide Notes And Butterfly Kisses,2002-06-04,39,Atreyu,spotify:artist:3LkSiHbjqOHCKCqBfEZOTv,8,-6.072,1,0.0406,1.2e-05,0.000396,0.0965,0.581,103.355,223267,4
spotify:track:2DGFNAg4pTPLFKPeQRbGDZ,Daily Mix 2,What It Is To Burn - New Version,What It Is To Burn,2002-01-01,50,Finch,spotify:artist:528t5c0zyuG9beehtth4Za,1,-4.788,1,0.0459,2.03e-05,0,0.112,0.132,150.049,269027,4
spotify:track:37vOJ5qa7AhgVy83XF2h2K,Daily Mix 2,Movies,Fantasy EP,2017-04-20,42,Eternity Forever,spotify:artist:57jIhbre5LNTiR4Pr60wUs,6,-8.557,0,0.0296,0.198,0,0.128,0.252,130.002,222419,4
spotify:track:4bLxoTuywm7hAhOG3n0CFQ,Daily Mix 2,Soco Amaretto Lime,Your Favorite Weapon,2001,46,Brand New,spotify:artist:168dgYui7ExaU612eooDF1,1,-10.672,1,0.0402,0.737,0.000221,0.149,0.273,96.073,287693,4
spotify:track:5DbvE2zQte7NHA3bA9ikPF,Daily Mix 2,Circles,Circles,2018-10-25,24,Glacier Veins,spotify:artist:1ABJDb5VkWotQpFDOZeene,1,-2.518,0,0.0443,9.51e-05,0.00395,0.335,0.377,135.933,180938,4
spotify:track:5VKFzJzOInbZJnB8Pnxj1g,Daily Mix 2,Vertebrae,breathe,2019-09-13,42,Tiny Moving Parts,spotify:artist:5rJVTTK0ucAxQhkUc0nXbH,1,-5.093,1,0.0279,0.00814,1.25e-05,0.116,0.315,123.952,216070,4
spotify:track:6GZRgyUAO1QbqEmMxH1WsH,Daily Mix 2,Juneau,Casually Dressed & Deep In Conversation,2003,35,Funeral For A Friend,spotify:artist:4AbDWrmJPSOeIbT2Ou60ik,4,-4.053,1,0.0325,0.000607,0,0.194,0.291,103.218,217693,4
spotify:track:0CqBIiXC3hecmMn5qJ4ujz,Daily Mix 2,Diamonds,Ruby,2019-04-19,43,Mat Kerekes,spotify:artist:5rOjuB5uYAoDMHgZM6CFBB,0,-4.709,1,0.0349,0.23,0,0.088,0.508,96.826,208067,4
spotify:track:7hZ1JuwJm4hZsS8IHnKDt3,Daily Mix 2,Note to Self,"Dear Diary, My Teen Angst Has A Body Count",2005-07-26,51,From First To Last,spotify:artist:5n71fmAB8Un2IfAPn64erN,4,-5.873,0,0.203,0.000854,2.34e-05,0.344,0.246,85.986,239880,3
spotify:track:5j6bxkrNnqAjy3BiyVhyCR,Daily Mix 2,Sound of Sulfur,Pass the Flask,2007-03-20,22,The Bled,spotify:artist:0EvGuw8fuWFtxhAsBOFTin,10,-4.677,1,0.137,0.000263,0.000261,0.495,0.181,93.362,192840,4
spotify:track:53GeWcXzBroouLSxA6hI3m,Daily Mix 2,King of Hearts,Questions And Answers,2006,22,The Sleeping,spotify:artist:5l3nkPJllQnOEOp5ZP5QyW,11,-7.198,0,0.0774,0.24,0,0.199,0.431,144.22,265200,4
spotify:track:6V6IU3ktvw2lioHI8lKgSb,Daily Mix 2,One Eight Seven,From The Depths Of Dreams,2003-01-01,38,Senses Fail,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,7,-3.925,1,0.0749,0.00111,5.63e-06,0.277,0.188,159.873,250560,0
spotify:track:6P9EFl7OjQ6HCLValrwWq9,Daily Mix 2,I Think I'll Be Ok,Acoustic Volume 2,2018-09-28,26,Bayside,spotify:artist:51J0q8S7W3kIEYHQi3EPqk,8,-6.481,1,0.0333,0.0832,0,0.0858,0.591,172.047,193039,4
spotify:track:4kgOnLT1QUVNkKO9dGxrLP,Daily Mix 2,Living Room Song,Suburbia I've Given You All and Now I'm Nothing (Deluxe Version),2012-11-06,46,The Wonder Years,spotify:artist:0nq64XZMWV1s7XHXIkdH7K,3,-7.107,1,0.0353,0.493,0,0.475,0.513,120.008,169270,4
spotify:track:41gTdox7kzBEcT7PIz9bHH,Daily Mix 2,"Strawberry Swisher, Pt. 1",Happiness,2009-06-09,46,Dance Gavin Dance,spotify:artist:6guC9FqvlVboSKTI77NG2k,7,-3.541,0,0.0772,0.0569,0,0.227,0.444,176.932,208720,4
spotify:track:47IWLfIKOKhFnz1FUEUIkE,Daily Mix 2,A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,2004-01-01,58,Underoath,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,1,-3.604,0,0.106,0.00171,0,0.137,0.445,169.881,268000,4
spotify:track:6dzykD5EsopHarVtIrTE1J,Daily Mix 2,Liar (It Takes One To Know One),Louder Now (Deluxe Edition),2006-04-25,54,Taking Back Sunday,spotify:artist:24XtlMhEMNdi822vi0MhY1,8,-4.753,0,0.1,0.00122,0,0.215,0.603,93.544,191133,4
spotify:track:3ho676UrO1qCIY0gKHs8kN,Daily Mix 2,Red Hands,"Act II: The Meaning of, And All Things Regarding Ms. Leading",2007-05-22,39,The Dear Hunter,spotify:artist:51lE580QM13Anmb3mK2j1e,0,-6.846,1,0.0564,0.0252,2.43e-06,0.0973,0.268,140.016,367333,4
spotify:track:2RSWXsgLoiGfuHHJk5ykxr,Daily Mix 2,She's A God,She's A God,2019-06-27,58,Neck Deep,spotify:artist:2TM0qnbJH4QPhGMCdPt7fH,6,-3.997,1,0.112,0.0304,0,0.424,0.337,121.035,200331,4
spotify:track:1UVffD20CfHJ2wD0x0as8L,Daily Mix 2,Monsters,Voices,2006-02-14,58,Matchbook Romance,spotify:artist:5cCgzhFyRJVydeO23BqgLG,10,-2.651,0,0.0575,0.00131,2.51e-05,0.154,0.487,114.797,243747,4
spotify:track:09tkWFQOf7hrPLUm7zV9Ok,Daily Mix 2,Move,Castlecomer,2018-10-05,43,Castlecomer,spotify:artist:7tnWJfXaJmFO6vv5WFN2K0,6,-5.2,0,0.0386,0.00419,1.05e-05,0.312,0.891,112.003,179267,4
spotify:track:2SycDKk1EXJCe3uv88iYok,Daily Mix 2,Song for Luna,As Tall as Lions,2006-08-08,27,As Tall As Lions,spotify:artist:1F1IdqOCO4A9kBrQihBaOI,8,-5.452,0,0.046,0.396,4.16e-06,0.139,0.611,119.969,224920,4
spotify:track:19P0aMP7AtanEySDojYDdD,Daily Mix 2,Who Stays Behind,Questions And Answers,2006,15,The Sleeping,spotify:artist:5l3nkPJllQnOEOp5ZP5QyW,1,-5.407,1,0.118,0.000606,0,0.125,0.432,172.032,209107,4
spotify:track:5FpDTpoAnj49aYTKrgL07f,Daily Mix 2,Populace In Two,"Dear Diary, My Teen Angst Has A Body Count",2005-07-26,38,From First To Last,spotify:artist:5n71fmAB8Un2IfAPn64erN,6,-4.83,0,0.0631,0.00135,1.36e-05,0.2,0.22,88.416,264250,4
spotify:track:1ZjlJhszI9nBsWrv0HeL5c,Daily Mix 2,The Coldest Heart,Albatross,2006-01-01,37,The Classic Crime,spotify:artist:4Y2ImQoh83EyhkbaJXmJr1,0,-5.268,0,0.039,0.000974,0,0.308,0.749,200.168,220240,4
spotify:track:7hCWyoNCbLPLmWkzFhIJRt,Daily Mix 2,Fantasy,Fantasy,2017-01-26,46,Eternity Forever,spotify:artist:57jIhbre5LNTiR4Pr60wUs,6,-8.923,1,0.044,0.0301,3.36e-06,0.0628,0.799,129.974,212309,4
spotify:track:2QIybZBJS7jynaRrUZ8NJQ,Daily Mix 2,Bloody Romance,From The Depths Of Dreams,2003-01-01,41,Senses Fail,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,5,-4.123,1,0.214,0.000861,4.03e-06,0.117,0.326,131.116,230573,4
spotify:track:1lldOhIq1tf0XyQUBWDeOc,Daily Mix 2,Letters To You,What It Is To Burn,2002-01-01,45,Finch,spotify:artist:528t5c0zyuG9beehtth4Za,1,-3.939,1,0.0519,2.17e-05,0,0.0952,0.336,117.935,199600,4
spotify:track:20zs5ECJ4on1YqXHiDZkTN,Daily Mix 2,Always Focused,Pleasant Living,2014-09-09,50,Tiny Moving Parts,spotify:artist:5rJVTTK0ucAxQhkUc0nXbH,1,-7.31,1,0.0325,0.00408,0.00101,0.109,0.528,142.846,160613,4
spotify:track:3TQGvFALZaFeNS9D9WqG9M,Daily Mix 2,Drive There Now!,Southern Weather,2007-01-01,30,The Almost,spotify:artist:5X09SRt3qx77eh0XRreLjr,1,-3.698,0,0.0949,3.6e-05,0,0.184,0.364,117.612,191147,5
spotify:track:23T6UpY4iPZbwZ0pJ5g48w,Daily Mix 2,An Interlude,The Curse,2004-06-29,27,Atreyu,spotify:artist:3LkSiHbjqOHCKCqBfEZOTv,4,-7.818,0,0.0304,0.00317,0.766,0.116,0.34,159.048,129600,4
spotify:track:4OsLDuaH0bWR6xM6nj66F8,Daily Mix 2,F.C.P.R.E.M.I.X.,Doppelganger,2005,56,The Fall of Troy,spotify:artist:5fuQrhMRYMtoO9uOlFad4P,9,-5.531,0,0.0702,0.000631,9.75e-06,0.225,0.511,167.876,237680,4
spotify:track:69YAlTHsJSww392VeNOa7Z,Daily Mix 2,Studying Politics,The Question,2005-01-01,40,Emery,spotify:artist:4feAxLUxIU7G4KXhH0h2ni,10,-5.47,0,0.169,0.000906,0,0.131,0.308,164.009,210987,4
spotify:track:6aZDdC3xfkJQrSDndV9fzo,Daily Mix 2,Welcome Mats,Rock 2 the Rhythm,2015-08-11,37,Just Friends,spotify:artist:5489Aao4KjbdU9l5CUadOa,9,-7.573,1,0.0871,0.000572,1.31e-05,0.192,0.326,149.788,189118,4
spotify:track:1kdObeB2NVMZpxRG4u0C5v,Daily Mix 2,Blood On Blood,Palms,2018-09-14,36,Thrice,spotify:artist:3NChzMpu9exTlNPiqUQ2DE,0,-8.668,0,0.0447,0.105,0.00101,0.0997,0.311,147.953,275707,4
spotify:track:5AowVX66GOLarXdGoYpnor,Daily Mix 2,Lights Out,Lights Out,2019-02-11,23,Bellevue,spotify:artist:0qwSvSCXtYunSUF5zFvvrL,0,-4.678,1,0.0731,0.00109,0,0.508,0.457,103.508,183478,4
spotify:track:79DAk6M4kNtcnkMyli0LvS,Daily Mix 2,Big Mouth,Big Mouth,2019-05-13,48,Citizen,spotify:artist:0znuUIjvP0LXEslfaq0Nor,8,-5.011,0,0.043,0.0027,0,0.221,0.416,97.987,220255,4
spotify:track:0C71NJD4BhvPopTwI7a8KV,Daily Mix 2,Seven Years,Translating The Name,2003-06-17,56,Saosin,spotify:artist:1NUOfvAhA9AvsF1ISMkgHX,2,-4.535,0,0.0967,2.3e-05,2.38e-06,0.327,0.223,81.844,192787,3
spotify:track:6domcXns67m7QHb922O9EU,Daily Mix 2,Still,Questions And Answers,2006,13,The Sleeping,spotify:artist:5l3nkPJllQnOEOp5ZP5QyW,11,-9.513,1,0.0394,0.256,0.882,0.353,0.232,127.036,509120,4
spotify:track:6g9Ur09FGhhONJc71YcSRS,Daily Mix 2,Eating A Book,I Am Hollywood,2004-01-01,29,He Is Legend,spotify:artist:53cAPynhUIC5WFgPPfbp2r,9,-10.744,1,0.0569,3.7e-05,0.904,0.0151,0.359,172.002,229667,4
